name	css	codepoint	categories	popularity	terms
10k	ms:ms ms-10k	e951	Audio&Video	209	10000;10k;10K;achievement;alphabet;Audio&Video;character;competition;digit;display;distance;event;exercise;font;goal;k;letter;letters;measurement;metric;metric prefix;milestone;number;numbers;numerical;pixel;pixels;quantity;race;resolution;running;sport;symbol;ten;text;thousand;type;value;video
10mp	ms:ms ms-10mp	e952	Images	117	10;10mp;camera;camera specifications;capture;detail;digital;digits;display;equipment;file size;font;high resolution;image;image size;Images;indicator;label;lens;letters;megapixel;megapixels;mp;numbers;numerical;photo;photo quality;photography;photography gear;photography settings;picture;pixel;pixels;quality;resolution;sensor;symbol;technology;ten;text;type
11mp	ms:ms ms-11mp	e953	Images	92	11;11mp;camera;detail;digital;digits;display;eleven;font;image;Images;indicator;information;letter;letters;measurement;megapixel;megapixels;metric;mp;number;numbers;numeric;options;photo;photography;pixel;pixels;quality;resolution;settings;symbol;text;type
123	ms:ms ms-123	eb8d	UI actions	2312	1;123;2;3;arrange;arrow;ascending;ascending sort;count;data;digit;digit order;filter;increasing;increasing order;items;line;list;number order;numbers;numerical;one two three;order;organize;pointing up;sequence;sort;sort ascending;symbol;three lines;UI actions;up arrow
12mp	ms:ms ms-12mp	e954	Images	114	12;12 megapixels;12mp;camera;camera icon;camera quality;definition;digit;digital camera;digits;font;high resolution;image;image quality;Images;imaging;information;label;letters;media settings;megapixel;megapixels;mp;number;numbers;numerical;photo resolution;photo settings;photography;photography settings;picture settings;pixel;pixels;quality;resolution;symbol;text;type;video camera icon;video quality;video quality.;video resolution
13mp	ms:ms ms-13mp	e955	Images	98	13;13 megapixel;13mp;camera;camera information;camera resolution;camera settings;digital image;digits;file size;font;high resolution;image;image details;image metadata;image settings;image size;Images;letters;megapixel;megapixels;mp;numbers;photo details;photo quality;photo size;photography;picture quality;picture size;pixel;pixels;quality;resolution;resolution indicator;symbol;technical details;text;thirteen;thirteen megapixels;type
14mp	ms:ms ms-14mp	e956	Images	93	14;14mp;camera;camera settings;clarity;detail;digital;digits;font;fourteen megapixels;graphic;high resolution;icon;image;image quality;image size;Images;lens;letters;megapixel;megapixels;mp;numbers;photo;photo quality;photography;picture;pixel;pixels;quality;resolution;sensor;specification;symbol;technical;text;type;ui
15mp	ms:ms ms-15mp	e957	Images	96	15;15mp;attributes;camera;data;details;digital;digits;display;fifteen;file;font;image;Images;indicator;information;label;letter;letters;megapixel;megapixels;metadata;metric;mp;number;numbers;numeral;photo;photography;pixel;pixels;properties;quality;resolution;sensor;setting;specification;symbol;text;type;unit;value
16mp	ms:ms ms-16mp	e958	Images	94	16;16 megapixels;16mp;camera;camera mode;camera resolution;camera settings;camera specs;digital image;digital photography;digits;font;image;image details;image information;image quality;image resolution;Images;letters;megapixel;megapixel count;megapixels;mp;mp indicator.;numbers;photo information;photo resolution;photo settings;photo specs;photography;picture information;picture quality;pixel;pixels;quality;resolution;resolution indicator;sixteen;sixteen megapixels;sixteen mp;symbol;text;type
17mp	ms:ms ms-17mp	e959	Images	91	17;17mp;camera;counting;designation;digits;double digit;font;identifier;image;Images;index;label;letters;marker;measurement;megapixel;megapixels;mp;number 17;numbering;numbers;numbers 17;numeral;numeric;one;pixel;pixels;quality;quantity;reference;resolution;seven;seventeen;symbol;tag;text;type;unit;value
18_up_rating	ms:ms ms-18_up_rating	f8fd	Social	468	18;18 plus;18 up rating;18_up_rating;18+;access restriction;adult content;age limit;age rating;age restriction;age verification;censorship;certification;circle;content rating;content warning;eighteen plus;eighteen+;explicit content;filtering;mature content;number 18;parental advisory;rating;restricted content;sensitive content;Social;text;up;warning
18mp	ms:ms ms-18mp	e95a	Images	109	18;18mp;alphanumeric.;camera;camera information;camera sensor;camera settings;detail;digital camera;digits;eighteen;eighteen megapixels;eighteen mp;font;high resolution;image;image information;image quality;Images;letters;megapixel;megapixels;mp;number;numbers;numerical;photo quality;photography;picture quality;pixel;pixels;quality;resolution;sensor;symbol;text;type
19mp	ms:ms ms-19mp	e95b	Images	96	19;19mp;camera;data;detail;digital;digits;feature;font;image;Images;indicator;information;label;letter;letters;measurement;megapixel;megapixels;metric;mp;nineteen;number;numbers;numerical.;photo;photography;picture;pixel;pixels;quality;resolution;setting;specification;symbol;technical;text;type;value
1k	ms:ms ms-1k	e95c	Audio&Video	139	1000;1k;1K;abbreviation;alphabet;amount;Audio&Video;character;count;counter;data;digit;display;figure;font;indicator;k;label;letters;measure;metric;number;numbers;numeric;numerical;pixel;pixels;quantity;rating;resolution;result;score;statistic;symbol;text;thousand;total;type;unit;value;video
1k_plus	ms:ms ms-1k_plus	e95d	Audio&Video	112	+;1000;1k;1K;1k plus;1k_plus;achievement;addition;alphabet;Audio&Video;character;count;digit;display;figure;followers;font;growth;increase;k;letters;likes;metric;milestone;more;number;numbers;numeral;numerical;one thousand.;pixel;pixels;plus;plus sign;popularity;positive;quantity;resolution;social media;statistic;subscribers;success;symbol;text;thousand;thousand plus;type;value;video;views
1x_mobiledata	ms:ms ms-1x_mobiledata	efcd	Android	368	1x;1x mobiledata;1x signal;1x_mobiledata;alphabet;Android;cell signal;cellular;cellular data;character;connection status;connectivity;connectivity indicator;data connection;data technology;data type;digit;font;internet;letters;limited connectivity;low speed;mobile;mobile data;mobile internet;mobile network;mobiledata;network;network speed;network status;network type;numbers;phone;reception;signal;slow connection;speed;symbol;telecommunications;text;type;wifi;wireless;wireless data;wireless signal;x
1x_mobiledata_badge	ms:ms ms-1x_mobiledata_badge	f7f1	Android	19	1x;1x mobiledata badge;1x_mobiledata_badge;alphabet;Android;badge;cell phone;cellular;cellular data;character;circle;communication;connection;connectivity;coverage;data plan;data speed;device;digit;font;identifier;indicator;internet;label;letter;letters;mobile;mobile data;mobiledata;network;number;numbers;outline;phone;signal;signal strength;speed;status;symbol;technology;telecommunications;text;type;wifi;wireless;x
20mp	ms:ms ms-20mp	e95e	Images	97	20;20mp;camera;detail;digital;digits;display;font;image;Images;indicator;info;information;label;letters;megapixel;megapixels;metric;mp;numbers;numeric;parameter;photo;photography;photography feature;photography parameter;photography setting;picture;pixel;pixels;quality;resolution;setting;size;specification;symbol;text;twenty;type;value
21mp	ms:ms ms-21mp	e95f	Images	88	21;21mp;camera;camera setting;clarity;detail;detailed;digits;font;high detail;high resolution;image;image size;Images;indicator;label;letters;megapixel;megapixels;mp;numbers;photo quality;photo setting;photography;picture quality;pixel;pixels;quality;resolution;setting;symbol;text;twenty-one;type
22mp	ms:ms ms-22mp	e960	Images	118	22;22mp;camera;center;circle;compass;connection;coordinates;crosshair;data;destination;digits;direction;discovery;earth;explore;find;font;geography;global;globe;gps;image;Images;international;internet;letters;location;map;marker;megapixel;megapixels;mp;navigation;network;numbers;pin;pixel;pixels;place;point;position;quality;resolution;round;sphere;symbol;text;travel;type;web;world
23mp	ms:ms ms-23mp	e961	Images	95	23;23mp;camera;clarity;detail;digital;digits;font;high resolution;image;Images;information;letters;megapixel;megapixels;mp;numbers;numeric;photo;photography;picture;pixel;pixels;quality;resolution;sensor;setting;spec;symbol;technical;text;type;typography
24fps_select	ms:ms ms-24fps_select	f3f2	Images	9	24fps;24fps select;24fps_select;30;animation;camera;chosen;chosen speed;cinema;control;digits;film;fps;frame;frame rate;frames per second;frequency;image;Images;media control;motion;movie;numbers;option;per;playback speed;preference;rate;second;seconds;select;selection;setting;video;video editing;video frame;video playback;video quality;video resolution;video settings;video speed
24mp	ms:ms ms-24mp	e962	Images	125	24;24mp;camera;data;detail;digital;digits;display;file;font;format;image;Images;information;label;letters;measurement;megapixel;megapixels;metric;mp;number;numbers;option;photo;photography;pixel;pixels;quality;resolution;setting;size;specification;symbol;technical;text;twentyfour;type
2d	ms:ms ms-2d	ef37	Audio&Video	36	2d;alphabet;Audio&Video;character;chart;coordinate;d;diagram;digit;dimensional;dimensions;drawing;flat;flat design;font;geometry;graphic;grid;height;illustration;layout;letters;map;measurement;numbers;perspective;plane;projection;render;representation;scale;shape;surface;symbol;text;two;two dimensional;type;view;width;x-axis;y-axis
2d_2	ms:ms ms-2d_2	fff0e	Audio&Video	4	2;2d;2d 2;2d_2;alphabet;alphanumeric;architecture;Audio&Video;axis;cad;canvas;character;coordinate;d;design;digit;dimension;dimensional;display;drafting;drawing;flat;font;graphics;letter;letters;map;mode;modeling;number;numbers;orthographic;perspective;projection;rendering;settings;symbol;text;two;two dimensional;type;typography;view;visualize;workspace
2k	ms:ms ms-2k	e963	Audio&Video	127	2000;2k;2K;abbreviation;alphabet;Audio&Video;character;characters;digit;display;font;high quality;higher resolution;k;letter;letters;media;media controls;movie;number;numbers;numerical;option;pixel;pixels;playback;player;quality;resolution;screen;settings;streaming;symbol;television;text;toggle;type;video;video quality;video resolution;video settings
2k_plus	ms:ms ms-2k_plus	e964	Audio&Video	98	+;2000 plus;2000+;2k;2k plus;2k_plus;2k+;alphabet;Audio&Video;character;clarity;definition;digit;digital;display;font;format;hd;high definition;k;letters;media controls;movie quality;numbers;picture quality;playback;plus;quality settings;resolution;screen resolution;streaming;streaming quality;symbol;text;tv quality;two thousand k;two thousand plus;type;uhd;ultra hd;video quality;video settings;video standard
2mp	ms:ms ms-2mp	e965	Images	95	2;2mp;camera;camera sensor;detail;digit;digital;font;frame;image;Images;information;letters;measurement;megapixel;megapixels;metric;mp;number;number 2;numbers;photo;photography;pixel;pixels;quality;rectangle;resolution;size;specification;square;symbol;text;two;type;unit;video;videography
30fps	ms:ms ms-30fps	efce	Audio&Video	170	30fps;alphabet;Audio&Video;camera;character;digit;film;font;fps;frame rate;frame rate setting;frames;letters;media information;media settings;multimedia;numbers;playback;quality;recording;resolution;settings;symbol;text;thirty fps;thirty frames per second;type;video;video capture;video control;video display;video frame rate;video information;video options;video playback quality;video quality;video settings;video speed
30fps_select	ms:ms ms-30fps_select	efcf	Images	161	30;30fps;30fps select;30fps_select;camera;capture;choose;digital video;digits;fps;frame;frame rate;frame.;frames per second;frequency;image;Images;media;motion;numbers;option;per;playback;quality;rate;record;recording;second;seconds;select;selection;setting;settings;speed;stream;streaming;video;video option;video quality;video rate;video setting;video speed
360	ms:ms ms-360	e577	Maps	1950	360;360 degrees;around;arrow;av;camera;circle;circular;complete;control;degree;digital;direction;full view;immersive;interactive;Maps;movement;multimedia;navigation;panoramic;perspective;photo;rotate;rotation;sphere;spin;turn;user interface;video;view;virtual reality;visual;vr;web
3d	ms:ms ms-3d	ed38	Audio&Video	34	3;3d;abstract;alphabet;Audio&Video;block;box;character;cube;d;D;depth;design;digit;dimension;effect;font;form;future;geometry;graphic;graphics;letters;model;numbers;object;perspective;projection;realistic;render;rendering;shape;simulation;spatial;symbol;technology;text;three-dimensional;type;view;virtual;virtual_reality;visual;vr
3d_2	ms:ms ms-3d_2	fff0f	Audio&Video	3	2;3;3d;3d 2;3d_2;alphabet;ar;Audio&Video;augmented reality;bold;cad;character;cinema;d;D;depth;digit;dimension;dimensional;display;font;graphics;letter;letters;mode;modeling;multimedia;number;numbers;perspective;printing;rendering;settings;spatial;symbol;text;three-dimensional;type;typography;view;virtual reality;virtual_reality;volume;vr
3d_rotation	ms:ms ms-3d_rotation	e84d	Actions	1229	3;3d;3d rotation;3d_rotation;Actions;alphabet;angle;application;arrow;arrows;av;axis;button;camera;character;control;d;D;digit;font;graphic;letters;manipulation;menu;model;numbers;object;option;orientation;perspective;rendering;revolve;rotate;rotation;shape;software;spatial;spin;symbol;text;three-dimensional;tilt;tool;transform;turning;type;view;virtual_reality;visualization;vr
3g_mobiledata	ms:ms ms-3g_mobiledata	efd0	Android	196	3g;3g mobiledata;3g_mobiledata;alphabet;Android;bandwidth;bars;broadband;cellular;character;communication;computer;connection;connectivity;data;device;digit;digital;download;font;full bars;g;high speed;internet;letters;mobile;mobile data;mobiledata;network;numbers;online;phone;signal;speed;strong signal;symbol;tablet;technology;telecommunications;text;transfer;type;upload;wifi;wireless
3g_mobiledata_badge	ms:ms ms-3g_mobiledata_badge	f7f0	Android	7	3g;3g mobiledata badge;3g_mobiledata_badge;alphabet;Android;badge;broadband;cellular;character;communication;connection type;connectivity;data;data network;data speed;digit;font;g;generation;high speed;internet;internet speed;letters;mobile;mobile data;mobile internet;mobile network;mobiledata;network;network type;numbers;phone;signal;signal strength;speed;speed indicator;symbol;technology;telecom;telecommunications;text;type;wifi;wireless
3k	ms:ms ms-3k	e966	Audio&Video	88	3000;3k;3K;alphabet;Audio&Video;character;cinema;definition;digit;digital;display;film;font;high quality video;k;letters;media;movie;numbers;pixel;pixels;playback setting;resolution;screen;stream quality;streaming;streaming service;symbol;technology;television;text;three k;tv show;type;video;video playback;video player;video quality;video resolution;video setting
3k_plus	ms:ms ms-3k_plus	e967	Audio&Video	90	+;3000;3000 plus;3000+;3k;3K;3k plus;3k_plus;3k+;achievement;addition;alphabet;amount;Audio&Video;character;counter;data;digit;display;font;greater than;indicator;k;k.;letters;limit;metric;milestone;more;number;numbers;numeral;pixel;pixels;plus;quantity;resolution;statistic;symbol;text;thousand;three;three thousand;threshold;type;value;video;volume
3mp	ms:ms ms-3mp	e968	Images	98	3;3mp;camera;clarity;definition;digit;digital media;display;file format;file information;font;format indicator;high definition;image;image quality;Images;letters;media;media file;megapixel;megapixels;mp;numbers;option;photography;picture quality;pixel;pixels;preference;quality;quality setting;resolution;setting;standard definition;symbol;text;type;video;video file;video resolution
3p	ms:ms ms-3p	efd1	Communicate	1420	3;3p;account;avatar;avatar group;bubble;business;chat;collaboration;comment;communicate;Communicate;community;community icon;company;face;figures;group;group icon;human;members;message;multiple people;networking;organization;p;party;people;person;profile;profile group;silhouettes;social;speech;staff;staff icon;team;team icon;three people;triple person;user;users;users group;users icon
4g_mobiledata	ms:ms ms-4g_mobiledata	efd2	Android	341	4g;4g mobiledata;4g_mobiledata;alphabet;Android;bandwidth;cellular;cellular data;character;communication;connection;connectivity;data;digit;edge;font;four g;g;gprs;high speed;hspa;indicator;internet;letters;lte;mobile;mobile data;mobiledata;network;network strength;numbers;phone;signal;speed;status;symbol;telecommunication;text;type;umts;wifi;wireless
